,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,白菜,F,,切,F-comp
3,003-00-000,1,Q,,切,Targ
11,011-00-000,縦,Sf,,半分,other-mod
12,012-00-000,半分,Q,,切,Targ
14,014-00-000,切,Ac,,入れ,Targ
17,017-00-000,ボール,T,,入れ,T-comp
19,019-00-000,ひき肉,F,,入れ,F-comp
21,021-00-000,入れ,Ac,,加え,Targ
26,026-00-000,材料,F,,加え,Targ
28,028-00-000,加え,Ac,,混ぜ合わせ,Targ
31,031-00-000,粘り,Sf,,出,Agent
33,033-00-000,出,Af,,混ぜ合わせ,V-tm
36,036-00-000,混ぜ合わせ,Ac,,さ,Targ
43,043-00-000,たね,F,,さ,F-comp
46,046-00-000,白菜,F,,葉,F-part-of
48,048-00-000,葉,F,,さ,F-comp
56,056-00-000,さ,Ac,,のば,Targ
62,062-00-000,のば,Ac,,白菜,F-eq
67,067-00-000,鍋,T,,入れ,T-comp
69,069-00-000,白菜,F,,入れ,F-comp
71,071-00-000,入れ,Ac,,入れ,Targ
73,073-00-000,酒,F,,入れ,F-comp
74,074-00-000,大さじ,Q,,入れ,Targ
77,077-00-000,大さじ,Q,,2,other-mod
78,078-00-000,2,F,,入れ,Targ
81,081-00-000,水,F,,1,other-mod
82,082-00-000,1,Q,,2,other-mod
84,084-00-000,2,Q,,入れ,Targ
85,085-00-000,カップ,F,,入れ,T-comp
87,087-00-000,1,Q,,カップ,other-mod
88,088-00-000,カップ,F,,入れ,Targ
91,091-00-000,入れ,Ac,,し,Targ
93,093-00-000,ふた,T,,し,T-comp
95,095-00-000,し,Ac,,かけ,Targ
99,099-00-000,中火,T,,かけ,T-comp
101,101-00-000,かけ,Ac,,弱め,Targ
104,104-00-000,煮立,Af,,弱め,Targ
109,109-00-000,火,T,,弱め,T-comp
111,111-00-000,弱め,Ac,,する,Targ
113,113-00-000,30,D,,する,V-tm
117,117-00-000,蒸し煮,Sf,,する,Dest
119,119-00-000,する,Ac,,取り出,Targ
121,121-00-000,取り出,Ac,,切り分け,Targ
124,124-00-000,食べ,Sf,,切り分け,other-mod
127,127-00-000,切り分け,Ac,,盛,Targ
129,129-00-000,器,T,,盛,T-comp
