Unnamed: 0,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod,dependnecy_dst,arclabel
0,000-00-000,あさり,F,,12,,,,,,,,,,,,洗,Targ
7,000-00-007,貝,F,,10,,,,,,,,,,,,こすり合わせ,Targ
8,000-00-008,同士,F,,10,,,,,,,,,,,,こすり合わせ,Targ
10,000-00-010,こすり合わせ,Ac,,12,,,,,,,,,,,,洗,A-eq
12,000-00-012,洗,Ac,,65,,,,,,,,,,,,入れ,Dest
15,001-00-000,じゃがいも,F,,17,,,,,,,,,,,,洗,Targ
17,001-00-002,洗,Ac,,30,,,,,,,,,,,,加熱,Targ
20,001-00-005,電子,T,,21,,,,,,,,,,,,レンジ,T-eq
21,001-00-006,レンジ,T,,30,,,,,,,,,,,,加熱,T-comp
23,001-00-008,600,St,,30,,,,,,,,,,,,加熱,V-tm
24,001-00-009,W,St,,30,,,,,,,,,,,,加熱,V-tm
27,001-00-012,約,D,,30,,,,,,,,,,,,加熱,V-tm
28,001-00-013,3,D,,30,,,,,,,,,,,,加熱,V-tm
29,001-00-014,分,D,,30,,,,,,,,,,,,加熱,V-tm
30,001-00-015,加熱,Ac,,35,,,,,,,,,,,,む,V-tm
33,001-00-018,皮,F,,35,,,,,,,,,,,,む,Targ
35,001-00-020,む,Ac,,46,,,,,,,,,,,,切,Targ
40,001-00-025,食べ,Sf,,46,,,,,,,,,,,,切,other-mod
41,001-00-026,易,Sf,,46,,,,,,,,,,,,切,other-mod
42,001-00-027,い,Sf,,46,,,,,,,,,,,,切,other-mod
43,001-00-028,大き,Sf,,46,,,,,,,,,,,,切,other-mod
44,001-00-029,さ,Sf,,46,,,,,,,,,,,,切,other-mod
46,001-00-031,切,Ac,,65,,,,,,,,,,,,入れ,Targ
49,001-01-034,万能,F,,50,,,,,,,,,,,,ねぎ,F-eq
50,001-01-035,ねぎ,F,,55,,,,,,,,,,,,する,Targ
52,001-01-037,小口,Sf,,53,,,,,,,,,,,,切り,A-eq
53,001-01-038,切り,Sf,,55,,,,,,,,,,,,する,A-eq
55,001-01-040,する,Ac,,124,,,,,,,,,,,,散ら,Targ
57,002-00-000,鍋,T,,65,,,,,,,,,,,,入れ,Dest
59,002-00-002,水,F,,65,,,,,,,,,,,,入れ,Targ
61,002-00-004,あさり,F,,65,,,,,,,,,,,,入れ,Targ
63,002-00-006,じゃがいも,F,,65,,,,,,,,,,,,入れ,Targ
65,002-00-008,入れ,Ac,,69,,,,,,,,,,,,かけ,V-tm
67,002-00-010,火,T,,69,,,,,,,,,,,,かけ,Dest
69,002-00-012,かけ,Ac,,72,,,,,,,,,,,,沸騰,V-tm
72,002-00-015,沸騰,Ac,,97,,,,,,,,,,,,止め,V-tm
77,002-00-020,口,Sf,,79,,,,,,,,,,,,開,V-tm
79,002-00-022,開,Af,,97,,,,,,,,,,,,止め,V-tm
85,002-00-028,鶏がら,F,,88,,,,,,,,,,,,素,F-eq
86,002-00-029,スープ,F,,88,,,,,,,,,,,,素,F-eq
87,002-00-030,の,F,,88,,,,,,,,,,,,素,F-eq
88,002-00-031,素,F,,93,,,,,,,,,,,,入れ,Targ
90,002-00-033,日本,F,,91,,,,,,,,,,,,酒,F-eq
91,002-00-034,酒,F,,93,,,,,,,,,,,,入れ,Targ
93,002-00-036,入れ,Ac,,97,,,,,,,,,,,,止め,V-tm
95,002-00-038,火,T,,97,,,,,,,,,,,,止め,Targ
97,002-00-040,止め,Ac,,108,,,,,,,,,,,,注,V-tm
100,003-00-000,あさり,F,,108,,,,,,,,,,,,注,Targ
102,003-00-002,じゃがいも,F,,108,,,,,,,,,,,,注,Targ
104,003-00-004,スープ,F,,108,,,,,,,,,,,,注,Targ
106,003-00-006,器,T,,108,,,,,,,,,,,,注,Dest
108,003-00-008,注,Ac,,124,,,,,,,,,,,,散ら,Dest
111,003-00-011,刻,Ac,,122,,,,,,,,,,,,爪,F-eq
114,003-00-014,万能,F,,122,,,,,,,,,,,,爪,F-eq
120,003-00-020,鷹,F,,122,,,,,,,,,,,,爪,F-eq
121,003-00-021,の,F,,122,,,,,,,,,,,,爪,F-eq
122,003-00-022,爪,F,,124,,,,,,,,,,,,散ら,Targ
124,003-00-024,散ら,Ac,,-1,,,,,,,,,,,,,
