,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,あじ,F,,頭,F-part-of
2,002-00-000,頭,F,,落と,F-comp
4,004-00-000,落と,Ac,,削り,Targ
7,007-00-000,ぜいご,F,,削り,F-comp
9,009-00-000,削り,Ac,,取,Targ
10,010-00-000,取,Ac,,入れ,Targ
13,013-00-000,腹,F,,入れ,Dest
15,015-00-000,切り目,F,,入れ,Targ
17,017-00-000,入れ,Ac,,出,Targ
19,019-00-000,内臓,F,,出,F-comp
22,022-00-000,出,Ac,,水洗い,Targ
25,025-00-000,水洗い,Ac,,し,A-eq
27,027-00-000,し,Ac,,拭,Targ
29,029-00-000,ペーパー,T,,タオル,T-eq
30,030-00-000,タオル,T,,拭,T-comp
32,032-00-000,水け,F,,拭,Targ
34,034-00-000,拭,Ac,,寝かせ,Targ
41,041-00-000,包丁,T,,寝かせ,T-comp
43,043-00-000,寝かせ,Ac,,入れ,Targ
45,045-00-000,入れ,Ac,,動か,Targ
52,052-00-000,包丁,F,,動か,T-comp
54,054-00-000,動か,Ac,,はず,Targ
57,057-00-000,片身,F,,はず,F-comp
59,059-00-000,はず,Ac,,返,Targ
62,062-00-000,返,Ac,,はず,Targ
65,065-00-000,裏側,F,,身,F-part-of
67,067-00-000,身,F,,はず,Targ
71,071-00-000,はず,Ac,,そぎ取,Targ
74,074-00-000,腹骨,F,,そぎ取,F-comp
76,076-00-000,包丁,T,,そぎ取,T-comp
78,078-00-000,そぎ取,Ac,,ふ,Targ
86,086-00-000,塩,F,,ふ,F-comp
88,088-00-000,こしょう,F,,ふ,F-comp
90,090-00-000,少々,Q,,ふ,other-mod
93,093-00-000,少々,Q,,ふ,other-mod
96,096-00-000,ふ,Ac,,あじ,F-eq
99,099-00-000,玉ねぎ,F,,し,F-comp
101,101-00-000,みじん,Sf,,切り,other-mod
102,102-00-000,切り,St,,し,Targ
104,104-00-000,し,Ac,,包,Targ
106,106-00-000,ふきん,T,,包,T-comp
108,108-00-000,包,Ac,,水洗い,Targ
111,111-00-000,水洗い,Ac,,し,Targ
113,113-00-000,し,Ac,,絞,Targ
115,115-00-000,水け,F,,絞,Targ
117,117-00-000,絞,Ac,,玉ねぎ,F-eq
120,120-00-000,ボール,T,,入れ,T-comp
122,122-00-000,玉ねぎ,F,,入れ,A-eq
125,125-00-000,ソース,F,,入れ,F-comp
127,127-00-000,材料,F,,入れ,F-comp
129,129-00-000,入れ,Ac,,混ぜ,Targ
131,131-00-000,混ぜ,Ac,,入れ,Targ
134,134-00-000,バット,T,,入れ,T-comp
137,137-00-000,小麦,F,,粉,F-comp
138,138-00-000,粉,F,,入れ,Targ
139,139-00-000,大さじ,Q,,入れ,Targ
142,142-00-000,大さじ,Q,,6,other-mod
143,143-00-000,6,Ac,,入れ,Targ
146,146-00-000,水,F,,入れ,F-comp
147,147-00-000,大さじ,Q,,2,other-mod
148,148-00-000,2,Sf,,入れ,Targ
150,150-00-000,大さじ,Q,,入れ,Targ
154,154-00-000,入れ,Ac,,溶,Targ
156,156-00-000,溶,Ac,,からめ,Targ
162,162-00-000,あじ,F,,からめ,F-comp
165,165-00-000,3,F,,からめ,Targ
171,171-00-000,からめ,Ac,,まぶしつけ,Targ
173,173-00-000,パン,F,,粉,F-eq
174,174-00-000,粉,F,,まぶしつけ,Targ
176,176-00-000,全体,F,,まぶしつけ,Targ
178,178-00-000,まぶしつけ,Ac,,あじ,F-eq
181,181-00-000,揚げ油,F,,溶,T-comp
183,183-00-000,中温,Ac,,溶,Dest
185,185-00-000,170,St,,溶,Dest
187,187-00-000,180,St,,溶,Dest
190,190-00-000,小麦,F,,粉,F-eq
191,191-00-000,粉,F,,溶,F-comp
193,193-00-000,同量,Q,,水,other-mod
195,195-00-000,水,F,,落と,Dest
197,197-00-000,溶,Ac,,落と,Targ
200,200-00-000,数,F,,落と,Targ
202,202-00-000,落と,Ac,,沈,Targ
209,209-00-000,沈,Ac,,浮き上が,Agent
215,215-00-000,浮き上が,Ac,,熱,V-tm
220,220-00-000,熱,Ac,,入れ,V-tm
223,223-00-000,あじ,F,,入れ,F-comp
225,225-00-000,入れ,Ac,,揚げ,Targ
227,227-00-000,からり,F,,揚げ,Dest
229,229-00-000,揚げ,Ac,,き,Targ
231,231-00-000,油,F,,き,F-comp
233,233-00-000,き,Ac,,盛,Targ
236,236-00-000,器,T,,盛,T-comp
238,238-00-000,盛,Ac,,かけ,Targ
242,242-00-000,2,F,,かけ,Targ
245,245-00-000,ソース,F,,かけ,F-comp
