,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,白菜,F,,切,Targ
3,003-00-000,1,Q,,2,other-mod
5,005-00-000,2,Q,,切,Targ
11,011-00-000,縦,Sf,,半分,other-mod
12,012-00-000,半分,Q,,切,Targ
14,014-00-000,切,Ac,,さ,Targ
17,017-00-000,ボール,T,,入れ,T-comp
19,019-00-000,ひき肉,F,,入れ,Targ
21,021-00-000,入れ,Ac,,加え,Targ
22,022-00-000,、,Ac,,加え,other-mod
23,023-00-000,たね,F,,材料,F-eq
26,026-00-000,材料,F,,加え,Targ
28,028-00-000,加え,Ac,,て,Targ
29,029-00-000,て,Ac,,混ぜ合わせ,Targ
30,030-00-000,、,Ac,,混ぜ合わせ,other-mod
31,031-00-000,粘り,Sf,,混ぜ合わせ,V-tm
33,033-00-000,出,Af,,混ぜ合わせ,V-tm
36,036-00-000,混ぜ合わせ,Ac,,さ,Targ
39,039-00-000,【,Ac,,たね,other-mod
40,040-00-000,1,Q,,たね,other-mod
43,043-00-000,たね,F,,さ,Targ
46,046-00-000,白菜,F,,葉,F-part-of
48,048-00-000,葉,F,,のば,Targ
49,049-00-000,2,Q,,のば,Targ
56,056-00-000,さ,Ac,,のば,Targ
62,062-00-000,のば,Ac,,入れ,Targ
65,065-00-000,大きめ,Ac,,鍋,T-eq
67,067-00-000,鍋,T,,入れ,T-comp
69,069-00-000,白菜,F,,入れ,Targ
71,071-00-000,入れ,Ac,,入れ,Targ
72,072-00-000,、,Ac,,入れ,other-mod
73,073-00-000,酒,F,,大さじ,other-mod
74,074-00-000,大さじ,Q,,1,other-mod
75,075-00-000,1,Q,,入れ,other-mod
77,077-00-000,大さじ,Q,,2,other-mod
78,078-00-000,2,Q,,入れ,other-mod
81,081-00-000,水,F,,1,other-mod
82,082-00-000,1,Q,,2,other-mod
84,084-00-000,2,Q,,カップ,other-mod
85,085-00-000,カップ,F,,入れ,Targ
87,087-00-000,1,Q,,カップ,other-mod
88,088-00-000,カップ,F,,入れ,Targ
91,091-00-000,入れ,Ac,,て,Targ
92,092-00-000,て,Ac,,かけ,Targ
93,093-00-000,ふた,T,,かけ,Targ
99,099-00-000,中火,T,,かけ,Dest
101,101-00-000,かけ,Ac,,る,Targ
102,102-00-000,る,Ac,,き,Targ
104,104-00-000,煮立,Af,,き,V-tm
107,107-00-000,き,Ac,,弱め,V-tm
109,109-00-000,火,T,,弱め,Targ
111,111-00-000,弱め,Ac,,する,Dest
113,113-00-000,30,D,,する,V-tm
117,117-00-000,蒸し煮,Sf,,する,Targ
119,119-00-000,する,Ac,,取り出,Targ
121,121-00-000,取り出,Ac,,切り分け,Targ
124,124-00-000,食べ,Sf,,切り分け,other-mod
127,127-00-000,切り分け,Ac,,盛,Targ
129,129-00-000,器,T,,盛,Dest
131,131-00-000,盛,Ac,,,
