,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,あさり,F,,9,,,,,,,,,,,
9,000-00-009,こす,Ac,,13,,,,,,,,,,,
11,000-00-011,洗い,Sf,,13,,,,,,,,,,,
13,000-00-013,する,Ac,,21,,,,,,,,,,,
15,001-00-000,万能,F,,16,,,,,,,,,,,
16,001-00-001,ねぎ,F,,21,,,,,,,,,,,
18,001-00-003,小口,Sf,,19,,,,,,,,,,,
19,001-00-004,切り,Sf,,21,,,,,,,,,,,
21,001-00-006,する,Ac,,86,,,,,,,,,,,
23,002-00-000,鍋,T,,27,,,,,,,,,,,
25,002-00-002,だし,F,,27,,,,,,,,,,,
27,002-00-004,入れ,Ac,,31,,,,,,,,,,,
29,002-00-006,火,T,,31,,,,,,,,,,,
31,002-00-008,かけ,Ac,,41,,,,,,,,,,,
33,002-00-010,沸騰,Af,,41,,,,,,,,,,,
38,002-00-015,日本,F,,39,,,,,,,,,,,
39,002-00-016,酒,F,,41,,,,,,,,,,,
41,002-00-018,加え,Ac,,45,,,,,,,,,,,
43,002-00-020,アク,F,,45,,,,,,,,,,,
45,002-00-022,取,Ac,,65,,,,,,,,,,,
48,003-00-000,あさり,F,,52,,,,,,,,,,,
50,003-00-002,口,Sf,,52,,,,,,,,,,,
52,003-00-004,開,Af,,60,,,,,,,,,,,
58,003-00-010,味噌,F,,60,,,,,,,,,,,
60,003-00-012,溶か,Ac,,65,,,,,,,,,,,
63,003-00-015,火,T,,65,,,,,,,,,,,
65,003-00-017,止め,Ac,,78,,,,,,,,,,,
71,004-00-003,味噌,F,,72,,,,,,,,,,,
72,004-00-004,汁,F,,78,,,,,,,,,,,
76,004-00-008,椀,T,,78,,,,,,,,,,,
78,004-00-010,よそい分け,Ac,,86,,,,,,,,,,,
80,004-00-012,刻,Ac,,83,,,,,,,,,,,
83,004-00-015,万能,F,,84,,,,,,,,,,,
84,004-00-016,ねぎ,F,,86,,,,,,,,,,,
86,004-00-018,散ら,Ac,,-1,,,,,,,,,,,
89,004-00-021,完成,Af,,,,,,,,,,,,,
