,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,玉ねぎ,F,,2,,,,,,,,,,,
2,000-00-002,すりおろ,Ac,,26,,,,,,,,,,,
5,001-00-000,すりおろ,Ac,,2,,,,,,,,,,,
8,001-00-003,玉ねぎ,F,,5,,,,,,,,,,,
11,001-00-006,おろし,F,,26,,,,,,,,,,,
12,001-00-007,にんにく,F,,26,,,,,,,,,,,
14,001-00-009,おろ,Ac,,26,,,,,,,,,,,
18,001-00-013,still,F,,26,,,,,,,,,,,
21,001-00-016,赤味噌,F,,26,,,,,,,,,,,
23,001-00-018,豆板,F,,26,,,,,,,,,,,
24,001-00-019,醤,F,,26,,,,,,,,,,,
26,001-00-021,加え,Ac,,30,,,,,,,,,,,
30,001-00-025,混ぜ合わせ,Ac,,34,,,,,,,,,,,
32,001-00-027,タレ,F,,34,,,,,,,,,,,
34,001-00-029,作,Ac,,41,,,,,,,,,,,
37,001-00-032,牛,F,,41,,,,,,,,,,,
38,001-00-033,ロース,F,,41,,,,,,,,,,,
39,001-00-034,肉,F,,41,,,,,,,,,,,
41,001-00-036,漬け,Ac,,46,,,,,,,,,,,
44,002-00-000,タレ,F,,46,,,,,,,,,,,
46,002-00-002,漬け,Ac,,60,,,,,,,,,,,
48,002-00-004,牛,F,,60,,,,,,,,,,,
49,002-00-005,ロース,F,,60,,,,,,,,,,,
50,002-00-006,肉,F,,60,,,,,,,,,,,
52,002-00-008,グリル,F,,60,,,,,,,,,,,
54,002-00-010,フライパン,T,,60,,,,,,,,,,,
60,002-00-016,焼,Ac,,65,,,,,,,,,,,
63,003-00-000,サンチュ,F,,65,,,,,,,,,,,
65,003-00-002,敷,Ac,,63,,,,,,,,,,,
68,003-00-005,器,T,,72,,,,,,,,,,,
70,003-00-007,焼肉,F,,72,,,,,,,,,,,
72,003-00-009,盛り付け,Ac,,70,,,,,,,,,,,
77,003-00-014,キムチ,F,,79,,,,,,,,,,,
79,003-00-016,添え,Ac,,-1,,,,,,,,,,,
81,003-00-018,完成,Af,,,,,,,,,,,,,
