,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,ひじき,F,,つけ,Targ
2,002-00-000,水,F,,つけ,Dest
4,004-00-000,5,D,,ほど,V-tm
6,006-00-000,ほど,Ac,,つけ,V-tm
7,007-00-000,つけ,Ac,,もど,Targ
9,009-00-000,もど,Ac,,き,Targ
12,012-00-000,水け,F,,き,Targ
14,014-00-000,き,Ac,,切,Targ
17,017-00-000,食べ,Sf,,切,other-mod
20,020-00-000,切,Ac,,切,Targ
23,023-00-000,えのき,F,,根元,F-part-of
25,025-00-000,根元,F,,切,Targ
27,027-00-000,切,Ac,,切,Targ
30,030-00-000,長,Sf,,2,other-mod
32,032-00-000,2,Sf,,3,other-mod
34,034-00-000,3,Sf,,cm,other-mod
35,035-00-000,cm,Sf,,切,Targ
37,037-00-000,切,Ac,,合わせ,Targ
40,040-00-000,合わせ,Ac,,入れ,Targ
44,044-00-000,ボール,T,,入れ,T-comp
46,046-00-000,入れ,Ac,,て,Targ
47,047-00-000,て,Ac,,かけ,Targ
48,048-00-000,ラップ,T,,かけ,Targ
50,050-00-000,かけ,Ac,,加熱,Targ
52,052-00-000,電子,T,,レンジ,T-eq
53,053-00-000,レンジ,T,,加熱,T-comp
55,055-00-000,約,D,,加熱,V-tm
58,058-00-000,加熱,Ac,,混ぜ合わせ,Targ
61,061-00-000,ボール,T,,混ぜ合わせ,T-comp
63,063-00-000,A,F,,混ぜ合わせ,Targ
65,065-00-000,混ぜ合わせ,Ac,,加え,Targ
67,067-00-000,【,Ac,,加え,other-mod
68,068-00-000,1,F,,加え,Targ
71,071-00-000,加え,Ac,,て,Targ
72,072-00-000,て,Ac,,からめ,Targ
73,073-00-000,からめ,Ac,,取,Targ
75,075-00-000,粗熱,F,,取,Targ
77,077-00-000,取,Ac,,,
