,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,甘酢,F,,作,Targ
3,003-00-000,作,Ac,,し,Targ
6,006-00-000,みょうが,F,,し,F-comp
8,008-00-000,縦,Sf,,し,other-mod
9,009-00-000,半分,Q,,し,Dest
11,011-00-000,し,Ac,,ゆで,Targ
14,014-00-000,ゆで,Ac,,合わせ,Targ
16,016-00-000,熱,Sf,,合わせ,V-tm
20,020-00-000,調味,F,,料,F-eq
21,021-00-000,料,F,,合わせ,Targ
23,023-00-000,合わせ,Ac,,漬け,Dest
25,025-00-000,中,F,,漬け,Dest
27,027-00-000,漬け,Ac,,甘酢,F-eq
30,030-00-000,オーブン,T,,温め,T-comp
32,032-00-000,200,St,,温め,Dest
35,035-00-000,温め,Ac,,オーブン,T-eq
42,042-00-000,ぜいご,F,,取,Targ
44,044-00-000,取,Ac,,おろ,Targ
47,047-00-000,三,Sf,,おろ,Dest
50,050-00-000,おろ,Ac,,ふ,Targ
53,053-00-000,両面,F,,ふ,Dest
55,055-00-000,塩,F,,ふ,F-comp
57,057-00-000,ふ,Ac,,お,Dest
60,060-00-000,10,D,,お,V-tm
61,061-00-000,分,Ac,,お,V-tm
62,062-00-000,ほど,Ac,,お,V-tm
63,063-00-000,お,Ac,,拭,Targ
66,066-00-000,水け,F,,拭,V-tm
68,068-00-000,拭,Ac,,敷,Targ
71,071-00-000,オーブン,T,,敷,T-comp
75,075-00-000,敷,Ac,,し,Targ
78,078-00-000,天板,T,,し,T-comp
80,080-00-000,皮目,F,,し,F-comp
82,082-00-000,下,Sf,,し,Dest
84,084-00-000,し,Ac,,並べ,Targ
86,086-00-000,並べ,Ac,,焼,Targ
88,088-00-000,中段,T,,焼,T-comp
90,090-00-000,約,D,,焼,V-tm
93,093-00-000,焼,Ac,,練り,F-eq
96,096-00-000,練り,Ac,,作,V-tm
99,099-00-000,作,Ac,,合わせ,Targ
102,102-00-000,赤,F,,合わせ,F-comp
105,105-00-000,砂糖,F,,合わせ,F-comp
107,107-00-000,酒,F,,合わせ,F-comp
109,109-00-000,小鍋,T,,合わせ,T-comp
111,111-00-000,合わせ,Ac,,練,Targ
113,113-00-000,中火,T,,練,Dest
117,117-00-000,練,Ac,,おろ,Targ
120,120-00-000,火,T,,おろ,T-comp
122,122-00-000,おろ,Ac,,さま,Targ
126,126-00-000,さま,Ac,,加え,Targ
129,129-00-000,卵黄,F,,加え,F-comp
131,131-00-000,加え,Ac,,かけ,Targ
134,134-00-000,火,T,,かけ,T-comp
136,136-00-000,かけ,Ac,,混ぜ,Targ
138,138-00-000,混ぜ,Ac,,加え,Targ
140,140-00-000,しょうが,F,,汁,F-eq
141,141-00-000,汁,F,,加え,Targ
143,143-00-000,加え,Ac,,練り,V-tm
148,148-00-000,練り,Ac,,みそ,F-eq
149,149-00-000,みそ,F,,塗,Targ
151,151-00-000,塗,Ac,,混ぜ,Targ
154,154-00-000,オーブン,T,,入れ,T-comp
158,158-00-000,入れ,Ac,,焼,Targ
161,161-00-000,5,D,,焼,V-tm
163,163-00-000,焼,Ac,,盛,Targ
166,166-00-000,皿,T,,盛,Dest
168,168-00-000,盛,Ac,,ふ,Targ
171,171-00-000,白,Sf,,ごま,F-eq
174,174-00-000,ごま,F,,ふ,Targ
176,176-00-000,ふ,Ac,,添え,Targ
179,179-00-000,青,F,,葉,F-eq
182,182-00-000,葉,F,,添え,Targ
184,184-00-000,甘酢,F,,添え,Targ
