,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,マカロニ,F,,ゆで,Targ
2,002-00-000,たっぷり,Q,,湯,F-eq
4,004-00-000,湯,F,,ゆで,Dest
7,007-00-000,袋,F,,表示,other-mod
9,009-00-000,表示,D,,ゆで,Dest
13,013-00-000,ゆで,Ac,,上げ,Targ
15,015-00-000,ざる,T,,上げ,Targ
17,017-00-000,上げ,Ac,,入れ,Targ
19,019-00-000,水け,F,,入れ,Targ
24,024-00-000,オーブン,T,,焼,T-comp
26,026-00-000,180,St,,温め,V-tm
28,028-00-000,200,St,,温め,V-tm
31,031-00-000,温め,Ac,,加え,Targ
35,035-00-000,ほうれん,F,,草,F-eq
36,036-00-000,草,F,,ゆで,Targ
38,038-00-000,たっぷり,Q,,熱湯,other-mod
40,040-00-000,熱湯,F,,ゆで,Targ
43,043-00-000,ゆで,Ac,,絞,Targ
45,045-00-000,冷水,F,,絞,Dest
50,050-00-000,粗熱,Sf,,絞,Dest
55,055-00-000,水け,F,,絞,Targ
57,057-00-000,絞,Ac,,切,Targ
60,060-00-000,長,Sf,,切,Dest
65,065-00-000,切,Ac,,加え,Targ
68,068-00-000,玉ねぎ,F,,薄切り,Targ
70,070-00-000,縦,Sf,,薄切り,Dest
72,072-00-000,幅,Sf,,薄切り,Dest
76,076-00-000,薄切り,Sf,,入れ,Targ
80,080-00-000,卵,F,,入れ,Targ
82,082-00-000,鍋,T,,入れ,Dest
84,084-00-000,入れ,Ac,,入れ,Targ
86,086-00-000,かぶ,Q,,加え,Targ
90,090-00-000,水,F,,加え,Targ
92,092-00-000,加え,Ac,,て,Targ
93,093-00-000,て,Ac,,かけ,Targ
94,094-00-000,火,T,,かけ,Dest
96,096-00-000,かけ,Ac,,混ぜ,Targ
98,098-00-000,沸騰,Af,,混ぜ,V-tm
101,101-00-000,菜箸,T,,混ぜ,T-comp
105,105-00-000,混ぜ,Ac,,ゆで,Targ
108,108-00-000,沸騰,Af,,ゆで,V-tm
111,111-00-000,中火,T,,ゆで,Dest
117,117-00-000,ゆで,Ac,,切,Targ
120,120-00-000,冷水,F,,切,F-comp
125,125-00-000,粗熱,Sf,,切,V-tm
130,130-00-000,殻,F,,切,Targ
135,135-00-000,縦,Sf,,切,Dest
136,136-00-000,半分,Q,,切,Dest
138,138-00-000,切,Ac,,のせ,Targ
141,141-00-000,フライパン,T,,熱,Targ
143,143-00-000,中火,T,,熱,Dest
145,145-00-000,熱,Sf,,溶か,Targ
148,148-00-000,バター,F,,大さじ,other-mod
149,149-00-000,大さじ,Q,,溶か,Targ
152,152-00-000,溶か,Ac,,入れ,Targ
155,155-00-000,玉ねぎ,F,,入れ,Targ
157,157-00-000,入れ,Ac,,炒め,Targ
159,159-00-000,炒め,Ac,,加え,Targ
162,162-00-000,しんなり,Sf,,加え,V-tm
167,167-00-000,ほうれん,F,,草,F-eq
168,168-00-000,草,F,,加え,Targ
170,170-00-000,加え,Ac,,て,Targ
171,171-00-000,て,Ac,,炒め,Targ
173,173-00-000,炒め,Ac,,入れ,Targ
175,175-00-000,マカロニ,F,,入れ,Targ
177,177-00-000,入れ,Ac,,混ぜ,Targ
179,179-00-000,全体,F,,混ぜ,Targ
181,181-00-000,混ぜ,Ac,,調味,Targ
183,183-00-000,塩,F,,調味,Dest
185,185-00-000,こしょう,F,,調味,Dest
187,187-00-000,少々,Q,,調味,Dest
189,189-00-000,調味,Ac,,参照,Targ
192,192-00-000,下記,F,,参照,Targ
194,194-00-000,参照,Ac,,作,Dest
197,197-00-000,ホワイト,F,,作,Targ
200,200-00-000,作,Ac,,炒め,Targ
204,204-00-000,ホワイト,F,,2,other-mod
209,209-00-000,2,Q,,炒め,Targ
212,212-00-000,炒め,Ac,,加え,Targ
214,214-00-000,具,F,,加え,Targ
216,216-00-000,フライパン,T,,加え,Dest
218,218-00-000,加え,Ac,,て,Targ
219,219-00-000,て,Ac,,からめ,Targ
220,220-00-000,全体,F,,からめ,Targ
222,222-00-000,からめ,Ac,,入れ,Targ
224,224-00-000,グラタン,T,,皿,T-eq
225,225-00-000,皿,T,,入れ,Dest
227,227-00-000,具,F,,入れ,Targ
229,229-00-000,等分,F,,入れ,Targ
231,231-00-000,入れ,Ac,,のせ,Targ
234,234-00-000,ゆで卵,F,,のせ,Targ
236,236-00-000,のせ,Ac,,かけ,Targ
238,238-00-000,残り,Q,,かけ,Targ
240,240-00-000,ホワイト,F,,かけ,Targ
243,243-00-000,かけ,Ac,,散ら,Targ
245,245-00-000,ピザ,F,,チーズ,F-eq
247,247-00-000,チーズ,F,,散ら,Targ
249,249-00-000,散ら,Ac,,焼,Targ
252,252-00-000,オーブン,T,,焼,T-comp
254,254-00-000,10,D,,焼,V-tm
257,257-00-000,焼,Ac,,焼,Targ
262,262-00-000,ホワイト,F,,作,Targ
265,265-00-000,作,Ac,,熱,Targ
273,273-00-000,鍋,T,,熱,Targ
275,275-00-000,弱火,T,,熱,Dest
277,277-00-000,熱,Sf,,入れ,Targ
280,280-00-000,バター,F,,入れ,Targ
282,282-00-000,入れ,Ac,,加え,Targ
286,286-00-000,溶け,Ac,,加え,Targ
288,288-00-000,泡立,Af,,加え,V-tm
295,295-00-000,小麦,F,,粉,F-eq
