,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,あさり,F,,9,,,,,,,,,,,
6,000-00-006,貝,F,,7,,,,,,,,,,,
7,000-00-007,同士,F,,9,,,,,,,,,,,
9,000-00-009,こすり合わせ,Ac,,11,,,,,,,,,,,
11,000-00-011,洗,Ac,,21,,,,,,,,,,,
14,001-00-000,にんにく,F,,21,,,,,,,,,,,
16,001-00-002,わけぎ,F,,21,,,,,,,,,,,
18,001-00-004,みじん,Sf,,19,,,,,,,,,,,
19,001-00-005,切り,Sf,,21,,,,,,,,,,,
21,001-00-007,する,Ac,,41,,,,,,,,,,,
25,002-00-002,電子,T,,26,,,,,,,,,,,
26,002-00-003,レンジ,T,,29,,,,,,,,,,,
29,002-00-006,容器,T,,41,,,,,,,,,,,
32,002-00-009,あさり,F,,41,,,,,,,,,,,
34,002-00-011,にんにく,F,,41,,,,,,,,,,,
36,002-00-013,バター,F,,41,,,,,,,,,,,
38,002-00-015,白,F,,41,,,,,,,,,,,
39,002-00-016,ワイン,F,,41,,,,,,,,,,,
41,002-00-018,入れ,Ac,,45,,,,,,,,,,,
43,002-00-020,ラップ,T,,45,,,,,,,,,,,
45,002-00-022,被せ,Ac,,61,,,,,,,,,,,
47,002-00-024,電子,T,,48,,,,,,,,,,,
48,002-00-025,レンジ,T,,61,,,,,,,,,,,
50,002-00-027,600,St,,61,,,,,,,,,,,
51,002-00-028,W,St,,61,,,,,,,,,,,
56,002-00-033,口,Sf,,58,,,,,,,,,,,
58,002-00-035,開,Af,,61,,,,,,,,,,,
61,002-00-038,加熱,Ac,,71,,,,,,,,,,,
66,003-00-002,酒,F,,67,,,,,,,,,,,
67,003-00-003,蒸し,F,,71,,,,,,,,,,,
69,003-00-005,器,T,,71,,,,,,,,,,,
71,003-00-007,盛り付け,Ac,,75,,,,,,,,,,,
73,003-00-009,わけぎ,F,,75,,,,,,,,,,,
75,003-00-011,散ら,Ac,,-1,,,,,,,,,,,
78,003-00-014,完成,Af,,,,,,,,,,,,,
