,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,キャベツ,F,,する,Targ
2,002-00-000,にら,F,,する,Targ
4,004-00-000,ねぎ,F,,する,Targ
8,008-00-000,みじん,Sf,,切り,other-mod
9,009-00-000,切り,Sf,,する,Targ
11,011-00-000,する,Ac,,合わせ,Targ
13,013-00-000,計量,F,,カップ,T-eq
14,014-00-000,カップ,Q,,150,other-mod
16,016-00-000,水,F,,150,other-mod
17,017-00-000,150,Q,,合わせ,Targ
20,020-00-000,小麦,F,,粉,F-eq
21,021-00-000,粉,F,,合わせ,Targ
22,022-00-000,大さじ,Q,,1,other-mod
23,023-00-000,1,F,,2,other-mod
25,025-00-000,2,Q,,合わせ,Targ
27,027-00-000,合わせ,Ac,,合わせ,Targ
30,030-00-000,小さ,Sf,,器,T-eq
32,032-00-000,器,T,,合わせ,Dest
36,036-00-000,材料,F,,合わせ,Targ
38,038-00-000,合わせ,Ac,,入れ,Targ
41,041-00-000,ボール,T,,入れ,Dest
43,043-00-000,ひき肉,F,,入れ,Targ
45,045-00-000,入れ,Ac,,加え,Targ
46,046-00-000,、,Ac,,加え,other-mod
47,047-00-000,A,F,,加え,Targ
49,049-00-000,加え,Ac,,練り混ぜ,Targ
50,050-00-000,よく,Ac,,練り混ぜ,V-tm
51,051-00-000,練り混ぜ,Ac,,出,Targ
54,054-00-000,粘り,Sf,,出,V-tm
56,056-00-000,出,Af,,加え,V-tm
59,059-00-000,キャベツ,F,,加え,Targ
61,061-00-000,にら,F,,加え,Targ
63,063-00-000,ねぎ,F,,加え,Targ
65,065-00-000,しょうが,F,,加え,Targ
67,067-00-000,加え,Ac,,て,Targ
68,068-00-000,て,Ac,,出,Targ
71,071-00-000,粘り,Sf,,出,V-tm
73,073-00-000,出,Af,,混ぜ,Targ
76,076-00-000,混ぜ,Ac,,のせ,Targ
79,079-00-000,餃子,F,,のせ,Targ
81,081-00-000,皮,F,,のせ,Dest
83,083-00-000,中央,F,,1,other-mod
87,087-00-000,1,F,,12,other-mod
89,089-00-000,12,F,,のせ,Dest
92,092-00-000,のせ,Ac,,つけ,Targ
94,094-00-000,皮,F,,つけ,Dest
96,096-00-000,縁,F,,つけ,Dest
98,098-00-000,水,F,,つけ,Dest
100,100-00-000,つけ,Ac,,折,Targ
102,102-00-000,半分,Sf,,折,Dest
104,104-00-000,折,Ac,,寄せ,Targ
107,107-00-000,ひだ,F,,寄せ,Dest
109,109-00-000,寄せ,Ac,,包,Targ
111,111-00-000,包,Ac,,包,Targ
114,114-00-000,残り,Q,,包,Targ
118,118-00-000,包,Ac,,並べ,Targ
121,121-00-000,フライパン,T,,なじ,Agent
123,123-00-000,サラダ,F,,油,F-eq
124,124-00-000,油,F,,なじ,Agent
125,125-00-000,大さじ,Q,,1,other-mod
126,126-00-000,1,F,,なじ,Agent
128,128-00-000,なじ,Ac,,押しつけ,Targ
132,132-00-000,餃子,F,,押しつけ,Targ
134,134-00-000,押しつけ,Ac,,並べ,Targ
140,140-00-000,並べ,Ac,,かけ,Targ
142,142-00-000,強火,T,,かけ,Targ
144,144-00-000,かけ,Ac,,る,Targ
145,145-00-000,る,Ac,,混ぜ,Targ
147,147-00-000,バチバチ,F,,音,other-mod
149,149-00-000,音,F,,混ぜ,V-tm
157,157-00-000,計量,F,,カップ,T-eq
158,158-00-000,カップ,Q,,混ぜ,Targ
160,160-00-000,水,F,,混ぜ,Targ
162,162-00-000,小麦,F,,粉,T-eq
163,163-00-000,粉,F,,混ぜ,Targ
166,166-00-000,混ぜ,Ac,,回し入れ,Targ
169,169-00-000,回し入れ,Ac,,する,Targ
171,171-00-000,ふた,T,,する,Targ
175,175-00-000,弱火,St,,する,Targ
179,179-00-000,6,D,,する,V-tm
183,183-00-000,蒸し焼き,Sf,,する,Targ
185,185-00-000,する,Ac,,取,Targ
187,187-00-000,ふた,T,,取,Targ
189,189-00-000,取,Ac,,強め,Targ
192,192-00-000,火,T,,強め,Targ
194,194-00-000,強め,Ac,,離れ,Targ
196,196-00-000,羽根,F,,縁,other-mod
198,198-00-000,縁,F,,離れ,V-tm
200,200-00-000,フライパン,T,,離れ,V-tm
202,202-00-000,離れ,Ac,,焼,V-tm
207,207-00-000,色づ,Af,,焼,V-tm
210,210-00-000,焼,Ac,,止め,V-tm
213,213-00-000,火,T,,止め,Targ
215,215-00-000,止め,Ac,,かぶせ,Targ
218,218-00-000,フライパン,T,,かぶせ,Targ
220,220-00-000,器,T,,かぶせ,Targ
222,222-00-000,かぶせ,Ac,,押さえ,Targ
224,224-00-000,押さえ,Ac,,ひっくり返,Targ
226,226-00-000,ひっくり返,Ac,,取り出,Targ
229,229-00-000,取り出,Ac,,つけ,Targ
234,234-00-000,つけ,Ac,,,
