,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,バター,F,,置,Targ
2,002-00-000,室温,Sf,,置,F-comp
4,004-00-000,置,Ac,,置,Targ
8,008-00-000,柔らか,Sf,,置,V-tm
17,017-00-000,鍋,T,,ゆで,Dest
19,019-00-000,スパゲティ,F,,ゆで,Targ
21,021-00-000,ゆで,Ac,,沸か,Targ
23,023-00-000,湯,F,,ゆで,Dest
25,025-00-000,沸か,Ac,,はじめ,Targ
27,027-00-000,はじめ,Ac,,入れ,Targ
30,030-00-000,たらこ,F,,入れ,Targ
32,032-00-000,薄皮,Sf,,入れ,Dest
34,034-00-000,縦,Sf,,入れ,Dest
36,036-00-000,切り目,F,,入れ,Targ
38,038-00-000,入れ,Ac,,取り出,Targ
40,040-00-000,スプーン,T,,取り出,T-comp
43,043-00-000,身,F,,取り出,Targ
45,045-00-000,取り出,Ac,,取り出,Targ
49,049-00-000,沸,Af,,入れ,V-tm
52,052-00-000,スパゲティ,F,,入れ,Targ
54,054-00-000,入れ,Ac,,ゆで,Targ
56,056-00-000,ゆで,Ac,,はじめ,Targ
57,057-00-000,はじめ,Ac,,入れ,Targ
60,060-00-000,たらこ,F,,入れ,Targ
62,062-00-000,塩分,F,,入れ,Targ
69,069-00-000,塩,F,,入れ,Targ
71,071-00-000,入れ,Ac,,な,Targ
72,072-00-000,な,Af,,入れ,Targ
78,078-00-000,湯,F,,入れ,Targ
85,085-00-000,スパケティ,F,,入れ,Targ
87,087-00-000,くっつ,Af,,入れ,Targ
95,095-00-000,鍋,T,,入れ,Dest
97,097-00-000,中,T,,入れ,Dest
99,099-00-000,スパゲティ,F,,入れ,Targ
103,103-00-000,おど,Af,,入れ,V-tm
107,107-00-000,たっぷり,Q,,入れ,V-tm
109,109-00-000,湯,F,,入れ,Targ
111,111-00-000,入れ,Ac,,上げ,Targ
120,120-00-000,器,T,,入れ,Dest
122,122-00-000,それぞれ,Ac,,入れ,V-tm
126,126-00-000,バター,F,,入れ,Targ
128,128-00-000,昆布,F,,入れ,Targ
131,131-00-000,レモン,F,,汁,F-eq
132,132-00-000,汁,F,,入れ,Targ
134,134-00-000,1,Q,,入れ,V-tm
138,138-00-000,ずつ,T,,入れ,V-tm
139,139-00-000,入れ,Ac,,ふ,Targ
141,141-00-000,塩,F,,ふ,Targ
143,143-00-000,こしょう,F,,ふ,Targ
145,145-00-000,少々,Q,,ふ,V-tm
147,147-00-000,ふ,Ac,,練り合わせ,Targ
151,151-00-000,なめらか,Sf,,練り合わせ,V-tm
153,153-00-000,な,Af,,練り合わせ,V-tm
156,156-00-000,スプーン,T,,裏側,F-part-of
158,158-00-000,裏側,F,,練り合わせ,Dest
161,161-00-000,練り合わせ,Ac,,加え,Targ
164,164-00-000,スパゲティ,F,,上げ,Targ
166,166-00-000,ゆで上が,Af,,上げ,Targ
170,170-00-000,ざる,T,,上げ,Dest
172,172-00-000,上げ,Ac,,とき,Targ
174,174-00-000,水,F,,とき,Targ
177,177-00-000,な,Af,,とき,V-tm
179,179-00-000,な,Af,,とき,V-tm
183,183-00-000,ゆで汁,F,,とき,Targ
185,185-00-000,しっかり,Ac,,とき,V-tm
186,186-00-000,とき,Ac,,加え,Targ
194,194-00-000,入,Ac,,加え,Targ
197,197-00-000,器,T,,加え,Dest
199,199-00-000,1,Q,,加え,V-tm
203,203-00-000,ずつ,T,,加え,V-tm
204,204-00-000,加え,Ac,,混ぜ,Targ
206,206-00-000,フォーク,F,,混ぜ,T-comp
208,208-00-000,スプーン,T,,混ぜ,T-comp
211,211-00-000,器,T,,混ぜ,Dest
213,213-00-000,底,T,,混ぜ,Dest
217,217-00-000,混ぜ,Ac,,混ぜ,V-tm
220,220-00-000,熱,Sf,,混ぜ,V-tm
227,227-00-000,ずつ,T,,混ぜ,Dest
228,228-00-000,器,T,,混ぜ,Dest
230,230-00-000,中,T,,混ぜ,Dest
232,232-00-000,混ぜ,Ac,,なじ,Targ
236,236-00-000,たらこ,F,,なじ,Agent
242,242-00-000,な,Af,,なじ,V-tm
246,246-00-000,味,Sf,,なじ,Agent
249,249-00-000,なじ,Ac,,仕上げ,V-tm
252,252-00-000,仕上げ,Ac,,散ら,Dest
255,255-00-000,もみのり,F,,散ら,Targ
257,257-00-000,散ら,Ac,,,
