,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,キャベツ,F,,切,Targ
2,002-00-000,ベーコン,F,,切,Targ
4,004-00-000,幅,Sf,,２,other-mod
5,005-00-000,２,D,,切,Dest
8,008-00-000,切,Ac,,炒め,Targ
11,011-00-000,にんじん,F,,む,Targ
13,013-00-000,玉ねぎ,F,,む,Targ
15,015-00-000,皮,F,,む,Targ
17,017-00-000,む,Ac,,切,Targ
20,020-00-000,２,D,,角,other-mod
22,022-00-000,角,Sf,,切,Targ
24,024-00-000,切,Ac,,炒め,Targ
27,027-00-000,じゃがいも,F,,切,Targ
31,031-00-000,切,Ac,,さら,Targ
34,034-00-000,水,F,,さら,Dest
36,036-00-000,さら,Ac,,炒め,Targ
39,039-00-000,鍋,T,,熱,T-comp
41,041-00-000,バター,F,,大さじ,F-part-of
42,042-00-000,大さじ,Q,,１,F-part-of
43,043-00-000,１,Q,,熱,Targ
45,045-00-000,熱,Ac,,し,Targ
46,046-00-000,し,Ac,,炒め,Targ
48,048-00-000,ベーコン,F,,炒め,Targ
50,050-00-000,玉ねぎ,F,,炒め,Targ
52,052-00-000,にんじん,F,,炒め,Targ
54,054-00-000,キャベツ,F,,炒め,Targ
56,056-00-000,じゃがいも,F,,炒め,Targ
60,060-00-000,中火,T,,炒め,Dest
62,062-00-000,炒め,Ac,,る,Targ
63,063-00-000,る,Ac,,弱め,Targ
65,065-00-000,玉ねぎ,F,,透き通,V-tm
67,067-00-000,透き通,Af,,弱め,V-tm
71,071-00-000,火,T,,弱め,Targ
73,073-00-000,弱め,Ac,,し,Targ
75,075-00-000,ふた,T,,し,T-comp
77,077-00-000,し,Ac,,蒸,Targ
79,079-00-000,２,D,,分,other-mod
80,080-00-000,分,Q,,蒸,V-tm
81,081-00-000,蒸,Ac,,加え,V-tm
84,084-00-000,水,F,,３,F-part-of
85,085-00-000,３,F,,加え,Targ
88,088-00-000,固形,F,,１,F-part-of
92,092-00-000,１,Q,,加え,Targ
95,095-00-000,塩,F,,小さじ,F-part-of
96,096-00-000,小さじ,Q,,１,F-part-of
97,097-00-000,１,Q,,３,F-part-of
99,099-00-000,３,F,,加え,Targ
101,101-00-000,こしょう,F,,加え,Targ
102,102-00-000,少々,Q,,加え,Targ
104,104-00-000,加え,Ac,,盛,Targ
105,105-00-000,、,Ac,,煮,Targ
106,106-00-000,中火,T,,煮,Dest
108,108-00-000,５,D,,分,other-mod
109,109-00-000,分,Q,,煮,V-tm
110,110-00-000,煮,Ac,,盛,Targ
112,112-00-000,器,T,,盛,Dest
114,114-00-000,盛,Ac,,,
