,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,玉ねぎ,F,,2,,,,,,,,,,,
2,000-00-002,薄切り,Ac,,71,,,,,,,,,,,
4,000-00-004,アスパラガス,F,,8,,,,,,,,,,,
6,000-00-006,袴,F,,8,,,,,,,,,,,
8,000-00-008,取り除,Ac,,19,,,,,,,,,,,
12,000-00-012,長,Sf,,19,,,,,,,,,,,
13,000-00-013,さ,Sf,,19,,,,,,,,,,,
14,000-00-014,3,Sf,,19,,,,,,,,,,,
15,000-00-015,cm,Sf,,19,,,,,,,,,,,
17,000-00-017,斜め切り,Sf,,19,,,,,,,,,,,
19,000-00-019,し,Ac,,71,,,,,,,,,,,
22,000-00-022,ベーコン,F,,28,,,,,,,,,,,
24,000-00-024,2,Sf,,28,,,,,,,,,,,
25,000-00-025,cm,Sf,,28,,,,,,,,,,,
26,000-00-026,幅,Sf,,28,,,,,,,,,,,
28,000-00-028,切,Ac,,71,,,,,,,,,,,
31,001-00-000,フライパン,T,,35,,,,,,,,,,,
33,001-00-002,水,F,,35,,,,,,,,,,,
35,001-00-004,注,Ac,,40,,,,,,,,,,,
38,001-00-007,火,T,,40,,,,,,,,,,,
40,001-00-009,かけ,Ac,,44,,,,,,,,,,,
42,001-00-011,塩,F,,44,,,,,,,,,,,
44,001-00-013,入れ,Ac,,48,,,,,,,,,,,
46,001-00-015,パスタ,F,,48,,,,,,,,,,,
48,001-00-017,加え,Ac,,54,,,,,,,,,,,
50,001-00-019,3,D,,54,,,,,,,,,,,
51,001-00-020,～,D,,54,,,,,,,,,,,
52,001-00-021,4,D,,54,,,,,,,,,,,
53,001-00-022,分,D,,54,,,,,,,,,,,
54,001-00-023,加熱,Ac,,63,,,,,,,,,,,
57,002-00-000,沸騰,Af,,63,,,,,,,,,,,
63,002-00-006,混ぜ,Ac,,71,,,,,,,,,,,
65,002-00-008,ベーコン,F,,71,,,,,,,,,,,
67,002-00-010,アスパラガス,F,,71,,,,,,,,,,,
69,002-00-012,玉ねぎ,F,,71,,,,,,,,,,,
71,002-00-014,加え,Ac,,75,,,,,,,,,,,
73,002-00-016,蓋,T,,75,,,,,,,,,,,
75,002-00-018,する,Ac,,97,,,,,,,,,,,
77,003-00-000,パスタ,F,,97,,,,,,,,,,,
79,003-00-002,茹であが,Af,,97,,,,,,,,,,,
83,003-00-006,1,D,,97,,,,,,,,,,,
84,003-00-007,分,D,,97,,,,,,,,,,,
85,003-00-008,前,D,,97,,,,,,,,,,,
87,003-00-010,な,Af,,97,,,,,,,,,,,
92,003-00-015,生,F,,97,,,,,,,,,,,
93,003-00-016,クリーム,F,,97,,,,,,,,,,,
95,003-00-018,バター,F,,97,,,,,,,,,,,
97,003-00-020,加え,Ac,,103,,,,,,,,,,,
99,003-00-022,ソース,F,,103,,,,,,,,,,,
103,003-00-026,絡,Ac,,108,,,,,,,,,,,
106,003-00-029,火,T,,108,,,,,,,,,,,
108,003-00-031,かけ,Ac,,119,,,,,,,,,,,
111,004-00-000,器,T,,119,,,,,,,,,,,
113,004-00-002,アスパラガス,F,,119,,,,,,,,,,,
115,004-00-004,ベーコン,F,,119,,,,,,,,,,,
117,004-00-006,パスタ,F,,119,,,,,,,,,,,
119,004-00-008,盛り付け,Ac,,127,,,,,,,,,,,
121,004-00-010,粉,F,,122,,,,,,,,,,,
122,004-00-011,チーズ,F,,127,,,,,,,,,,,
124,004-00-013,ブラック,F,,125,,,,,,,,,,,
125,004-00-014,ペッパー,F,,127,,,,,,,,,,,
127,004-00-016,振,Ac,,-1,,,,,,,,,,,
130,004-00-019,完成,Af,,,,,,,,,,,,,
