,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,いわし,F,,胸びれ,F-part-of
2,002-00-000,胸びれ,Sf,,つけ根,F-part-of
4,004-00-000,つけ根,F,,頭,F-part-of
8,008-00-000,頭,F,,切,Targ
10,010-00-000,切,Ac,,入れ,Targ
13,013-00-000,腹側,Sf,,入れ,Dest
15,015-00-000,切り目,F,,入れ,Targ
17,017-00-000,入れ,Ac,,かき出,Targ
19,019-00-000,はらわた,F,,かき出,Targ
21,021-00-000,かき出,Ac,,水洗い,Targ
24,024-00-000,腹,F,,中,F-part-of
26,026-00-000,中,F,,水洗い,Targ
28,028-00-000,水洗い,Ac,,入れ,Targ
31,031-00-000,左右,T,,入れ,Dest
33,033-00-000,親指,F,,入れ,Targ
37,037-00-000,中ほど,F,,入れ,Dest
40,040-00-000,中骨,F,,上,F-part-of
43,043-00-000,上,F,,入れ,Dest
47,047-00-000,入れ,Ac,,押し上げ,Targ
49,049-00-000,押し上げ,Ac,,折,Targ
51,051-00-000,左右,T,,中骨,F-part-of
63,063-00-000,中骨,F,,折,Targ
65,065-00-000,折,Ac,,はず,Targ
68,068-00-000,頭,F,,はず,Targ
70,070-00-000,向か,Ac,,はず,Targ
73,073-00-000,はず,Ac,,拭,Targ
76,076-00-000,ペーパー,F,,タオル,T-eq
77,077-00-000,タオル,T,,拭,Dest
79,079-00-000,水け,F,,拭,Targ
81,081-00-000,拭,Ac,,ふ,Targ
85,085-00-000,塩,F,,ふ,Targ
87,087-00-000,こしょう,F,,ふ,Targ
89,089-00-000,少々,Q,,ふ,Targ
91,091-00-000,ふ,Ac,,並べ入れ,Targ
94,094-00-000,オーブン,T,,温め,T-comp
96,096-00-000,220,St,,温め,V-tm
99,099-00-000,温め,Ac,,焼,Targ
103,103-00-000,フライパン,T,,熱,Targ
105,105-00-000,オリーブ,F,,油,F-eq
106,106-00-000,油,F,,熱,Targ
107,107-00-000,大さじ,Q,,1,other-mod
108,108-00-000,1,Q,,熱,V-tm
110,110-00-000,中火,T,,熱,Dest
112,112-00-000,熱,Ac,,並べ入れ,Targ
115,115-00-000,いわし,F,,皮め,F-part-of
117,117-00-000,皮め,F,,並べ入れ,Targ
119,119-00-000,下,Sf,,並べ入れ,Dest
123,123-00-000,並べ入れ,Ac,,焼,Targ
125,125-00-000,両面,F,,焼,Targ
129,129-00-000,焼,Ac,,く,Targ
130,130-00-000,く,Ac,,並べ入れ,Targ
132,132-00-000,フライパン,T,,残,Dest
134,134-00-000,残,Ac,,た,F-part-of
136,136-00-000,た,Ac,,油,F-part-of
137,137-00-000,油,F,,捨て,Targ
139,139-00-000,捨て,Ac,,た,Targ
142,142-00-000,オリーブ,F,,油,F-eq
143,143-00-000,油,F,,た,Targ
144,144-00-000,大さじ,Q,,2,other-mod
145,145-00-000,2,Q,,た,Targ
147,147-00-000,た,Ac,,炒め,Targ
150,150-00-000,玉ねぎ,F,,炒め,Targ
152,152-00-000,にんにく,F,,炒め,Targ
154,154-00-000,炒め,Ac,,加え,Targ
157,157-00-000,透き通,Af,,加え,V-tm
160,160-00-000,トマト,F,,水煮,F-eq
162,162-00-000,水煮,F,,加え,Targ
164,164-00-000,汁,F,,加え,Targ
166,166-00-000,加え,Ac,,つぶ,Targ
167,167-00-000,て,Ac,,つぶ,Targ
168,168-00-000,木べら,T,,固形,T-eq
170,170-00-000,つぶ,Ac,,煮,Targ
173,173-00-000,固形,F,,1,other-mod
177,177-00-000,1,Q,,加え,Targ
180,180-00-000,塩,F,,小さじ,other-mod
181,181-00-000,小さじ,Q,,1,other-mod
182,182-00-000,1,Q,,3,other-mod
184,184-00-000,3,F,,加え,Targ
186,186-00-000,こしょう,F,,加え,Targ
187,187-00-000,少々,Q,,加え,Targ
189,189-00-000,加え,Ac,,て,Targ
190,190-00-000,て,Ac,,煮,Targ
191,191-00-000,5,D,,分,other-mod
192,192-00-000,分,Q,,煮,V-tm
194,194-00-000,煮,Ac,,敷,Targ
197,197-00-000,耐熱,T,,容器,T-eq
198,198-00-000,容器,Sf,,敷,Dest
200,200-00-000,トマト,F,,ソース,T-eq
201,201-00-000,ソース,F,,2,other-mod
203,203-00-000,2,Q,,3,other-mod
205,205-00-000,3,F,,敷,Targ
208,208-00-000,敷,Ac,,並べ入れ,Targ
212,212-00-000,いわし,F,,並べ入れ,Targ
214,214-00-000,並べ入れ,Ac,,かけ,Targ
217,217-00-000,容器,Sf,,重ね,Targ
219,219-00-000,小さ,Sf,,重ね,V-tm
223,223-00-000,重ね,Ac,,かけ,Targ
230,230-00-000,ソース,F,,かけ,Targ
232,232-00-000,かけ,Ac,,て,Targ
233,233-00-000,て,Ac,,散ら,Targ
235,235-00-000,パン,F,,粉,T-eq
236,236-00-000,粉,F,,散ら,Targ
238,238-00-000,粉,F,,チーズ,T-eq
239,239-00-000,チーズ,F,,散ら,Targ
241,241-00-000,散ら,Ac,,焼,Targ
244,244-00-000,オーブン,T,,焼,T-comp
246,246-00-000,10,D,,焼,V-tm
248,248-00-000,15,D,,焼,V-tm
249,249-00-000,分,Q,,焼,V-tm
251,251-00-000,焼,Ac,,く,Targ
252,252-00-000,く,Ac,,散ら,Targ
254,254-00-000,パセリ,F,,散ら,Targ
256,256-00-000,みじん,Ac,,切り,other-mod
257,257-00-000,切り,F,,散ら,Targ
259,259-00-000,散ら,Ac,,,
