Unnamed: 0,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod,dependnecy_dst,arclabel
0,000-00-000,油揚げ,F,,4,,,,,,,,,,,,かけ,
2,000-00-002,熱湯,F,,4,,,,,,,,,,,,かけ,
4,000-00-004,かけ,Ac,,6,,,,,,,,,,,,油抜き,
6,000-00-006,油抜き,Ac,,8,,,,,,,,,,,,し,
8,000-00-008,し,Ac,,18,,,,,,,,,,,,切,
12,000-00-012,食べ,Sf,,18,,,,,,,,,,,,切,
13,000-00-013,易,Sf,,18,,,,,,,,,,,,切,
14,000-00-014,い,Sf,,18,,,,,,,,,,,,切,
15,000-00-015,大き,Sf,,18,,,,,,,,,,,,切,
16,000-00-016,さ,Sf,,18,,,,,,,,,,,,切,
18,000-00-018,切,Ac,,49,,,,,,,,,,,,加え,
21,000-00-021,乾燥,F,,22,,,,,,,,,,,,わかめ,
22,000-00-022,わかめ,F,,28,,,,,,,,,,,,洗,
24,000-00-024,水,F,,28,,,,,,,,,,,,洗,
28,000-00-028,洗,Ac,,64,,,,,,,,,,,,加え,
31,001-00-000,鍋,T,,35,,,,,,,,,,,,入れ,
33,001-00-002,だし,F,,35,,,,,,,,,,,,入れ,
35,001-00-004,入れ,Ac,,39,,,,,,,,,,,,かけ,
37,001-00-006,火,T,,39,,,,,,,,,,,,かけ,
39,001-00-008,かけ,Ac,,49,,,,,,,,,,,,加え,
41,001-00-010,沸騰,Af,,49,,,,,,,,,,,,加え,
47,001-00-016,油揚げ,F,,49,,,,,,,,,,,,加え,
49,001-00-018,加え,Ac,,58,,,,,,,,,,,,止め,
50,001-00-019,一,Af,,58,,,,,,,,,,,,止め,
51,001-00-020,煮立ち,Af,,58,,,,,,,,,,,,止め,
56,001-00-025,火,T,,58,,,,,,,,,,,,止め,
58,001-00-027,止め,Ac,,64,,,,,,,,,,,,加え,
61,001-01-030,乾燥,F,,62,,,,,,,,,,,,わかめ,
62,001-01-031,わかめ,F,,64,,,,,,,,,,,,加え,
64,001-01-033,加え,Ac,,72,,,,,,,,,,,,かけ,
68,001-01-037,鍋,T,,72,,,,,,,,,,,,かけ,
70,001-01-039,火,T,,72,,,,,,,,,,,,かけ,
72,001-01-041,かけ,Ac,,83,,,,,,,,,,,,溶か,
73,001-01-042,沸騰,Af,,83,,,,,,,,,,,,溶か,
80,001-01-049,白,F,,81,,,,,,,,,,,,味噌,
81,001-01-050,味噌,F,,83,,,,,,,,,,,,溶か,
83,001-01-052,溶か,Ac,,88,,,,,,,,,,,,止め,
86,001-01-055,火,T,,88,,,,,,,,,,,,止め,
88,001-01-057,止め,Ac,,102,,,,,,,,,,,,よそい分け,
91,002-00-000,油揚げ,F,,102,,,,,,,,,,,,よそい分け,
96,002-00-005,味噌,F,,102,,,,,,,,,,,,よそい分け,
97,002-00-006,汁,F,,102,,,,,,,,,,,,よそい分け,
100,002-00-009,椀,T,,102,,,,,,,,,,,,よそい分け,
102,002-00-011,よそい分け,Ac,,110,,,,,,,,,,,,散ら,
108,002-00-017,三つ葉,F,,110,,,,,,,,,,,,散ら,
110,002-00-019,散ら,Ac,,-1,,,,,,,,,,,,,
