,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,ブロッコリー,F,,ゆで,Targ
2,002-00-000,ゆで,Ac,,さま,Targ
4,004-00-000,さま,Ac,,分け,Targ
6,006-00-000,ブロッコリー,F,,分け,Targ
8,008-00-000,小房,Sf,,分け,other-mod
10,010-00-000,分け,Ac,,切,Targ
12,012-00-000,縦,Sf,,2,other-mod
13,013-00-000,2,D,,4,other-mod
15,015-00-000,4,Sf,,等分,other-mod
16,016-00-000,等分,Sf,,切,Targ
18,018-00-000,切,Ac,,沸か,Targ
21,021-00-000,鍋,T,,沸か,T-comp
23,023-00-000,湯,F,,沸か,Targ
25,025-00-000,リットル,F,,沸か,Targ
27,027-00-000,沸か,Ac,,加え,Targ
30,030-00-000,ティースプーン,Ac,,加え,T-comp
31,031-00-000,山盛り,Q,,加え,Targ
35,035-00-000,塩,F,,加え,Targ
37,037-00-000,加え,Ac,,る,Targ
38,038-00-000,る,Ac,,加え,Targ
40,040-00-000,ブロッコリー,F,,加え,Targ
42,042-00-000,加え,Ac,,て,Targ
43,043-00-000,て,Ac,,ゆで,Targ
44,044-00-000,2,D,,ほど,V-tm
46,046-00-000,ほど,Ac,,ゆで,V-tm
47,047-00-000,ゆで,Ac,,上げ,Targ
49,049-00-000,ざる,T,,上げ,Targ
51,051-00-000,上げ,Ac,,き,Targ
53,053-00-000,水け,F,,き,Targ
55,055-00-000,き,Ac,,さま,Targ
60,060-00-000,さま,Ac,,す,Targ
63,063-00-000,ごま,F,,す,Targ
65,065-00-000,す,Ac,,あえ,Targ
68,068-00-000,あえ,Ac,,あえ,Targ
72,072-00-000,あえ,Ac,,入れ,Targ
80,080-00-000,ごま,F,,入れ,Targ
82,082-00-000,入れ,Ac,,す,Targ
83,083-00-000,、,Ac,,す,other-mod
84,084-00-000,すりこ,Ac,,木,T-eq
85,085-00-000,木,T,,す,Targ
89,089-00-000,す,Ac,,する,Targ
91,091-00-000,半,Sf,,ずり,other-mod
92,092-00-000,ずり,Sf,,する,Targ
94,094-00-000,する,Ac,,加え,Targ
96,096-00-000,残り,Ac,,調味,F-part-of
98,098-00-000,調味,F,,料,F-part-of
99,099-00-000,料,F,,加え,Targ
101,101-00-000,加え,Ac,,こそげ,Targ
102,102-00-000,、,Ac,,こそげ,Targ
103,103-00-000,ゴム,T,,こそげ,T-comp
106,106-00-000,こそげ,Ac,,混ぜ,Targ
108,108-00-000,混ぜ,Ac,,あえ,Targ
110,110-00-000,あえ,Ac,,ごろも,F-eq
111,111-00-000,ごろも,F,,作,Targ
113,113-00-000,作,Ac,,加え,Targ
116,116-00-000,ブロッコリー,F,,加え,Targ
118,118-00-000,削り節,F,,加え,Targ
120,120-00-000,加え,Ac,,あえ,Targ
121,121-00-000,、,Ac,,あえ,Targ
122,122-00-000,全体,F,,あえ,Targ
128,128-00-000,ゴム,T,,あえ,T-comp
131,131-00-000,手,T,,あえ,Targ
135,135-00-000,あえ,Ac,,,
