,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,鶏肉,F,,取り除,Targ
2,002-00-000,余分,Sf,,な,other-mod
3,003-00-000,な,Af,,脂肪,other-mod
6,006-00-000,脂肪,F,,取り除,Targ
8,008-00-000,取り除,Ac,,き,Targ
9,009-00-000,き,Ac,,する,Targ
11,011-00-000,一口,Sf,,大,other-mod
12,012-00-000,大,Q,,そぎ,other-mod
14,014-00-000,そぎ,Sf,,する,Targ
17,017-00-000,する,Ac,,入れ,Targ
19,019-00-000,ボール,T,,入れ,T-comp
21,021-00-000,鶏肉,F,,入れ,Targ
23,023-00-000,入れ,Ac,,て,Targ
24,024-00-000,て,Ac,,加え,Targ
25,025-00-000,A,F,,加え,Targ
27,027-00-000,加え,Ac,,もみ込,Targ
28,028-00-000,、,Ac,,もみ込,other-mod
29,029-00-000,手,T,,もみ込,Dest
31,031-00-000,もみ込,Ac,,お,Targ
35,035-00-000,分,F,,お,V-tm
36,036-00-000,ほど,Ac,,お,V-tm
37,037-00-000,お,Ac,,加え,Targ
40,040-00-000,溶き卵,F,,加え,Targ
42,042-00-000,片栗粉,F,,加え,Targ
44,044-00-000,加え,Ac,,混ぜ合わせ,Targ
45,045-00-000,、,Ac,,混ぜ合わせ,other-mod
46,046-00-000,手,T,,混ぜ合わせ,Dest
48,048-00-000,混ぜ合わせ,Ac,,入れ,Targ
51,051-00-000,揚げ油,F,,温め,Targ
53,053-00-000,中温,Ac,,温め,Dest
55,055-00-000,170,St,,温め,Dest
58,058-00-000,菜箸,T,,ぬれ,Targ
60,060-00-000,ぬれ,Ac,,拭,Targ
64,064-00-000,拭,Ac,,入れ,Targ
67,067-00-000,入れ,Ac,,る,Targ
68,068-00-000,る,Ac,,勢い,V-tm
71,071-00-000,勢い,Ac,,出,V-tm
73,073-00-000,泡,F,,出,Agent
75,075-00-000,出,Af,,温め,V-tm
81,081-00-000,温め,Ac,,入れ,Targ
84,084-00-000,油,F,,表面,other-mod
86,086-00-000,表面,F,,な,other-mod
88,088-00-000,いっぱい,Sf,,な,Agent
90,090-00-000,な,Af,,入れ,Targ
94,094-00-000,鶏肉,F,,入れ,Targ
96,096-00-000,1,F,,入れ,other-mod
99,099-00-000,入れ,Ac,,揚げ,Targ
100,100-00-000,、,Ac,,揚げ,other-mod
101,101-00-000,しばらく,Ac,,揚げ,V-tm
104,104-00-000,揚げ,Ac,,き,Targ
107,107-00-000,ころも,F,,固ま,V-tm
109,109-00-000,固ま,Af,,き,V-tm
112,112-00-000,き,Ac,,混ぜ,V-tm
115,115-00-000,菜箸,T,,混ぜ,Dest
119,119-00-000,混ぜ,Ac,,混ぜ,Targ
122,122-00-000,ときどき,Ac,,混ぜ,V-tm
123,123-00-000,混ぜ,Ac,,揚げ,Targ
128,128-00-000,分,F,,揚げ,V-tm
129,129-00-000,揚げ,Ac,,する,Targ
131,131-00-000,揚げ油,F,,する,Agent
133,133-00-000,ピチピチ,Sf,,する,Agent
135,135-00-000,音,F,,する,Agent
137,137-00-000,する,Ac,,な,V-tm
140,140-00-000,な,Af,,な,V-tm
143,143-00-000,肉,F,,な,V-tm
145,145-00-000,きつね色,Sf,,な,V-tm
147,147-00-000,な,Af,,揚げ,V-tm
151,151-00-000,揚げ,Ac,,取り出,Targ
154,154-00-000,取り出,Ac,,き,Targ
157,157-00-000,油,F,,き,Targ
159,159-00-000,き,Ac,,盛,Targ
162,162-00-000,器,T,,盛,Dest
164,164-00-000,盛,Ac,,添え,Targ
167,167-00-000,下記,F,,添え,Targ
169,169-00-000,キャベツ,F,,添え,Targ
171,171-00-000,きゅうり,F,,塩もみ,Targ
173,173-00-000,塩もみ,Ac,,添え,Targ
175,175-00-000,添え,Ac,,,
