,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,玉ねぎ,F,,切り,Targ
2,002-00-000,みじん,Sf,,切り,other-mod
3,003-00-000,切り,Sf,,炒め,Targ
7,007-00-000,フライパン,T,,入れ,Dest
9,009-00-000,バター,F,,入れ,Targ
10,010-00-000,大さじ,Q,,1,other-mod
11,011-00-000,1,F,,入れ,Targ
13,013-00-000,入れ,Ac,,熱,Targ
15,015-00-000,強火,T,,熱,Dest
17,017-00-000,熱,Ac,,止め,Targ
20,020-00-000,玉ねぎ,F,,炒め,Targ
22,022-00-000,しんなり,Af,,止め,V-tm
25,025-00-000,炒め,Ac,,止め,Targ
27,027-00-000,火,Sf,,止め,Targ
29,029-00-000,止め,Ac,,取,Targ
36,036-00-000,粗熱,Sf,,取,Targ
38,038-00-000,取,Ac,,入れ,Targ
41,041-00-000,ボール,T,,入れ,Dest
43,043-00-000,ひき肉,F,,入れ,Targ
45,045-00-000,玉ねぎ,F,,入れ,Targ
47,047-00-000,パン,F,,粉,F-eq
48,048-00-000,粉,Q,,1,other-mod
49,049-00-000,1,F,,4,other-mod
51,051-00-000,4,Sf,,カップ,other-mod
52,052-00-000,カップ,F,,入れ,Targ
54,054-00-000,卵黄,F,,入れ,Targ
56,056-00-000,入れ,Ac,,加え,Targ
58,058-00-000,塩,F,,加え,Targ
60,060-00-000,こしょう,F,,加え,Targ
62,062-00-000,ナツメッグ,F,,加え,Targ
64,064-00-000,少々,Q,,加え,V-tm
66,066-00-000,加え,Ac,,る,Targ
67,067-00-000,る,Ac,,練り混ぜ,Targ
69,069-00-000,粘り,Sf,,出,Agent
71,071-00-000,出,Af,,練り混ぜ,Targ
74,074-00-000,耳,Ac,,練り混ぜ,V-tm
79,079-00-000,さ,Ac,,練り混ぜ,V-tm
84,084-00-000,手,T,,練り混ぜ,Dest
86,086-00-000,練り混ぜ,Ac,,つけ,Targ
89,089-00-000,手,T,,つけ,Dest
91,091-00-000,サラダ,F,,油,F-eq
92,092-00-000,油,F,,つけ,Targ
93,093-00-000,少々,Q,,つけ,Targ
95,095-00-000,つけ,Ac,,まとめ,Targ
100,100-00-000,4,Sf,,等分,other-mod
101,101-00-000,等分,Ac,,まとめ,Dest
104,104-00-000,丸,Sf,,まとめ,Dest
106,106-00-000,まとめ,Ac,,投げつけ,Targ
111,111-00-000,キャッチ,F,,ボール,other-mod
112,112-00-000,ボール,T,,投げつけ,Dest
119,119-00-000,投げつけ,Ac,,抜,Targ
121,121-00-000,空気,F,,抜,Targ
123,123-00-000,抜,Ac,,まとめ,Targ
126,126-00-000,小判,Sf,,まとめ,Dest
129,129-00-000,まとめ,Ac,,ぬら,Targ
132,132-00-000,水,F,,ぬら,Dest
134,134-00-000,ぬら,Ac,,置,Targ
137,137-00-000,まな,T,,置,Dest
140,140-00-000,置,Ac,,整え,Targ
143,143-00-000,包丁,T,,腹,T-part-of
145,145-00-000,腹,T,,整え,T-comp
149,149-00-000,周囲,F,,裂け,other-mod
151,151-00-000,裂け,Sf,,目,other-mod
152,152-00-000,目,F,,整え,Targ
158,158-00-000,整え,Ac,,へこ,Targ
160,160-00-000,中心,F,,へこ,Dest
164,164-00-000,へこ,Ac,,入れ,Targ
169,169-00-000,フライパン,T,,入れ,Dest
171,171-00-000,サラダ,F,,油,F-eq
172,172-00-000,油,F,,入れ,Targ
173,173-00-000,大さじ,Q,,1,other-mod
174,174-00-000,1,F,,入れ,Targ
