,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,キャベツ,F,,取り除,Targ
3,003-00-000,4,Sf,,取り除,Targ
6,006-00-000,約,D,,200,Targ
7,007-00-000,200,Q,,取り除,Targ
11,011-00-000,しん,F,,取り除,Targ
13,013-00-000,取り除,Ac,,切,Targ
16,016-00-000,4,Sf,,四方,other-mod
18,018-00-000,四方,Sf,,切,Dest
20,020-00-000,切,Ac,,入れ,Targ
23,023-00-000,耐熱,F,,器,T-eq
25,025-00-000,器,T,,入れ,Dest
27,027-00-000,入れ,Ac,,て,Targ
28,028-00-000,て,Ac,,かけ,Targ
29,029-00-000,ラップ,T,,かけ,Targ
31,031-00-000,かけ,Ac,,加熱,Targ
33,033-00-000,電子,T,,レンジ,T-eq
34,034-00-000,レンジ,T,,加熱,T-comp
36,036-00-000,約,D,,2,other-mod
37,037-00-000,2,F,,30,other-mod
39,039-00-000,30,D,,加熱,V-tm
41,041-00-000,加熱,Ac,,ふ,Targ
44,044-00-000,熱,Sf,,ふ,V-tm
48,048-00-000,塩,F,,ふ,Targ
49,049-00-000,少々,Q,,ふ,Targ
51,051-00-000,ごま,F,,小さじ,Targ
53,053-00-000,小さじ,Q,,ふ,Targ
56,056-00-000,ふ,Ac,,混ぜ,Targ
59,059-00-000,菜箸,T,,混ぜ,T-comp
61,061-00-000,混ぜ,Ac,,取れ,Targ
63,063-00-000,粗熱,Sf,,取れ,Agent
65,065-00-000,取れ,Af,,き,V-tm
69,069-00-000,水け,Sf,,き,Targ
71,071-00-000,き,Ac,,き,Targ
74,074-00-000,ツナ,F,,き,Targ
77,077-00-000,80,Q,,き,V-tm
84,084-00-000,缶汁,F,,き,Targ
86,086-00-000,き,Ac,,ほぐ,Targ
89,089-00-000,ほぐ,Ac,,混ぜ合わせ,Targ
92,092-00-000,ボール,T,,混ぜ合わせ,T-comp
94,094-00-000,マヨネーズ,F,,混ぜ合わせ,Targ
95,095-00-000,大さじ,Q,,3,other-mod
96,096-00-000,3,F,,混ぜ合わせ,Targ
98,098-00-000,しょうゆ,F,,混ぜ合わせ,Targ
99,099-00-000,小さじ,Q,,2,other-mod
102,102-00-000,2,F,,混ぜ合わせ,Targ
104,104-00-000,フレンチ,F,,マスタード,T-eq
105,105-00-000,マスタード,F,,混ぜ合わせ,Targ
106,106-00-000,小さじ,Q,,混ぜ合わせ,Targ
109,109-00-000,こしょう,F,,混ぜ合わせ,Targ
110,110-00-000,少々,Q,,混ぜ合わせ,Targ
112,112-00-000,混ぜ合わせ,Ac,,加え,Targ
115,115-00-000,キャベツ,F,,加え,Targ
117,117-00-000,ツナ,F,,加え,Targ
119,119-00-000,加え,Ac,,て,Targ
120,120-00-000,て,Ac,,あえ,Targ
121,121-00-000,あえ,Ac,,盛,Targ
123,123-00-000,器,T,,盛,Dest
125,125-00-000,盛,Ac,,,
